Respondent ID,Wealth Planning,Wealth Action Text,Health Planning Text,Health Action Text,Civic Planning Text,Civic Action Text,Work Planning Text,Work Action Text,Gender,Age,Race,Education,Education Group,Income,Employment,Job Role,Region,Wealth Planning,Wealth Action,Health Planning,Health Action,Civic Planning,Civic Action,Work Planning,Work Action,Total Score,Rank Descending,Rank Ascending,Percentile,Wealth,Health,Civic,Work,Planning,Action,Status
6498724205,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Male,25 to 34,White,Some college,Some college,"$50,000-$74,999",Student,"Technical / skilled trade (IT, electrician, plumber)",Pacific,0,0,0,0,0,0,0,0,0,1401,2.5,0.001780626780627,0,0,0,0,0,0,Data Disadvantaged
6498522167,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Male,45 to 54,White,Some college,Some college,"$0-$24,999","Employed, working full-time",Other (please specify),West South Central,0,0,0,0,0,0,0,0,0,1401,2.5,0.001780626780627,0,0,0,0,0,0,Data Disadvantaged
6498236504,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Male,25 to 34,Asian,Graduate degree,Post-graduate,"$0-$24,999","Disabled, not able to work",Not employed,Middle Atlantic,0,0,0,0,0,0,0,0,0,1401,2.5,0.001780626780627,0,0,0,0,0,0,Data Disadvantaged
6497807224,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Female,18 to 24,Black or African-American,Elementary,High school or less,"$75,000-$99,999",Student,Owner / executive / management,New England,0,0,0,0,0,0,0,0,0,1401,2.5,0.001780626780627,0,0,0,0,0,0,Data Disadvantaged
6498560626,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Rarely,Male,45 to 54,White,Graduated from college,College-graduate,"$25,000-$49,999","Employed, working full-time",Arts / performer,Pacific,0,0,0,0,0,0,0,1,1,1400,5,0.003561253561254,0,0,0,1,0,1,Data Disadvantaged
6498605191,Almost never,Almost never,Almost never,Almost never,Sometimes,Almost never,Almost never,Almost never,Male,35 to 44,White,Graduate degree,Post-graduate,"$25,000-$49,999",Retired,Not employed,West North Central,0,0,0,0,2,0,0,0,2,1398,6.5,0.00462962962963,0,0,2,0,2,0,Data Disadvantaged
6498093860,Almost never,Almost never,Almost never,Sometimes,Almost never,Almost never,Almost never,Almost never,Male,45 to 54,Black or African-American,Some college,Some college,"$0-$24,999","Disabled, not able to work",Not employed,South Atlantic,0,0,0,2,0,0,0,0,2,1398,6.5,0.00462962962963,0,2,0,0,0,2,Data Disadvantaged
6500473106,Almost never,Almost never,Almost never,Sometimes,Almost never,Almost never,Rarely,Almost never,Male,25 to 34,Some other race (please specify),Graduated from high school,High school or less,"$25,000-$49,999","Employed, working part-time",Other (please specify),Pacific,0,0,0,2,0,0,1,0,3,1396,8.5,0.006054131054131,0,2,0,1,1,2,Data Disadvantaged
6498289744,Almost never,Rarely,Almost never,Sometimes,Almost never,Almost never,Almost never,Almost never,Male,18 to 24,Multiple races,Graduated from high school,High school or less,"$0-$24,999","Not employed, NOT looking for work",Not employed,East North Central,0,1,0,2,0,0,0,0,3,1396,8.5,0.006054131054131,1,2,0,0,0,3,Data Disadvantaged
6498009914,Almost never,Usually,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Male,55 to 64,White,Graduated from high school,High school or less,"$100,000-$149,999","Employed, working full-time","Technical / skilled trade (IT, electrician, plumber)",Middle Atlantic,0,4,0,0,0,0,0,0,4,1395,10,0.007122507122507,4,0,0,0,0,4,Data Disadvantaged
